date_iso,Entry Type,Code,Reference,hf_laborers,hf_cost_per_laborer,outside_laborers,outside_cost_per_laborer,total_expenditure,Notes,Recorded By
2026-02-02,Labor,163,Robusta Irrigation,1.0,475.0,6.0,450.0,3175.0,Engine shifting ,system
2026-02-02,Labor,132,"Arabica Pruning, Handling",1.0,475.0,6.0,450.0,3175.0,,system
2026-02-02,Labor,138,Arabica Fence,6.0,450.0,0.0,0.0,2700.0,,system
2026-01-31,Labor,152,"Robusta Pruning, Handling",2.0,475.0,2.0,450.0,1850.0,,system
2026-01-31,Labor,132,"Arabica Pruning, Handling",5.0,475.0,10.0,450.0,6875.0,,system
2026-01-31,Labor,210,Nursery,4.0,475.0,0.0,0.0,1900.0,,system
2026-01-31,Labor,138,Arabica Fence,8.0,450.0,0.0,0.0,3600.0,,system
2026-01-30,Labor,163,Robusta Irrigation,3.0,450.0,0.0,0.0,1350.0,Sand filling,system
2026-01-30,Labor,152,"Robusta Pruning, Handling",3.0,475.0,1.0,450.0,1875.0,,system
2026-01-30,Labor,132,"Arabica Pruning, Handling",6.0,475.0,7.0,450.0,6000.0,,system
2026-01-30,Labor,210,Nursery,4.0,475.0,0.0,0.0,1900.0,,system
2026-01-30,Labor,138,Arabica Fence,8.0,450.0,0.0,0.0,3600.0,,system
2026-01-29,Labor,555,Solar Fence,2.0,475.0,1.0,450.0,1400.0,Weed control ,system
2026-01-29,Labor,160,Robust Harvesting,8.0,450.0,0.0,0.0,3600.0,Gleaning ,system
2026-01-29,Labor,132,"Arabica Pruning, Handling",5.0,475.0,0.0,0.0,2375.0,,system
2026-01-29,Labor,210,Nursery,4.0,475.0,0.0,0.0,1900.0,,system
2026-01-29,Labor,211,New Clearing,6.0,450.0,0.0,0.0,2700.0,Watering ,system
2026-01-29,Labor,138,Arabica Fence,1.0,475.0,5.0,450.0,2725.0,,system
2026-01-28,Labor,161,Robusta Processing & Drying,1.0,475.0,1.0,450.0,925.0,,system
2026-01-28,Labor,160,Robust Harvesting,9.0,450.0,0.0,0.0,4050.0,Gleaning ,system
2026-01-28,Labor,132,"Arabica Pruning, Handling",5.0,475.0,0.0,0.0,2375.0,,system
2026-01-28,Labor,210,Nursery,4.0,475.0,0.0,0.0,1900.0,,system
2026-01-28,Labor,211,New Clearing,6.0,450.0,0.0,0.0,2700.0,Watering ,system
2026-01-28,Labor,138,Arabica Fence,6.0,450.0,0.0,0.0,2700.0,Fence clearing,system
2026-01-27,Labor,161,Robusta Processing & Drying,1.0,475.0,1.0,450.0,925.0,,system
2026-01-27,Labor,160,Robust Harvesting,9.0,450.0,0.0,0.0,4050.0,Gleaning ,system
2026-01-27,Labor,160,Robust Harvesting,9.0,450.0,0.0,0.0,4050.0,Gleaning ,system
2026-01-27,Labor,132,"Arabica Pruning, Handling",5.0,475.0,0.0,0.0,2375.0,,system
2026-01-27,Labor,210,Nursery,4.0,475.0,0.0,0.0,1900.0,,system
2026-01-27,Labor,211,New Clearing,6.0,450.0,0.0,0.0,2700.0,Watering ,system
2026-01-27,Labor,138,Arabica Fence,1.5,475.0,6.0,450.0,3412.5,,system
2026-01-26,Labor,138,Arabica Fence,1.0,475.0,4.0,450.0,2275.0,,system
2026-01-26,Labor,161,Robusta Processing & Drying,1.0,475.0,1.0,450.0,925.0,,system
2026-01-26,Labor,210,Nursery,4.0,475.0,0.0,0.0,1900.0,,system
2026-01-26,Labor,232,Lent,5.0,475.0,17.0,450.0,10025.0,To mvalli lime,system
2026-01-24,Labor,158,Robusta Fence Maint,5.0,450.0,0.0,0.0,2250.0,,system
2026-01-24,Labor,161,Robusta Processing & Drying,1.0,475.0,1.0,450.0,925.0,,system
2026-01-24,Labor,210,Nursery,4.0,475.0,0.0,0.0,1900.0,,system
2026-01-24,Labor,232,Lent,6.0,475.0,17.0,450.0,10500.0,To pgiri lime ,system
2026-01-23,Labor,161,Robusta Processing & Drying,1.0,475.0,1.0,450.0,925.0,,system
2026-01-23,Labor,158,Robusta Fence Maint,2.0,475.0,5.0,450.0,3200.0,Fence,system
2026-01-23,Labor,232,Lent,6.0,475.0,17.0,450.0,10500.0,To pgiri lime ,system
2026-01-23,Labor,210,Nursery,4.0,475.0,0.0,0.0,1900.0,,system
2026-01-23,Other Expense,232,Lent,0.0,0.0,0.0,0.0,3560.0,Hsd tractor to sidhapur lime ,system
2026-01-23,Other Expense,161,Robusta Processing & Drying,0.0,0.0,0.0,0.0,12510.0,Over time ,system
2026-01-22,Labor,158,Robusta Fence Maint,1.0,475.0,5.0,450.0,2725.0,,system
2026-01-22,Labor,232,Lent,6.0,450.0,0.0,0.0,2700.0,Lime unloading ,system
2026-01-22,Labor,160,Robust Harvesting,10.0,450.0,0.0,0.0,4500.0,Gleaning ,system
2026-01-22,Labor,210,Nursery,9.0,475.0,0.0,0.0,4275.0,,system
2026-01-22,Labor,161,Robusta Processing & Drying,1.0,475.0,2.0,450.0,1375.0,,system
2026-01-21,Labor,160,Robust Harvesting,10.0,450.0,0.0,0.0,4500.0,Gleaning ,system
2026-01-21,Labor,158,Robusta Fence Maint,1.0,475.0,9.0,450.0,4525.0,,system
2026-01-21,Labor,161,Robusta Processing & Drying,1.0,475.0,4.0,450.0,2275.0,,system
2026-01-21,Labor,210,Nursery,9.0,475.0,0.0,0.0,4275.0,,system
2026-01-20,Labor,158,Robusta Fence Maint,6.0,450.0,0.0,0.0,2700.0,,system
2026-01-20,Labor,161,Robusta Processing & Drying,3.0,475.0,0.0,0.0,1425.0,,system
2026-01-20,Labor,210,Nursery,8.0,475.0,0.0,0.0,3800.0,,system
2026-01-20,Other Expense,232,Lent,0.0,0.0,0.0,0.0,5340.0,Hsd Pulpar pgiri and mvalli ,system
2026-01-20,Other Expense,232,Lent,0.0,0.0,0.0,0.0,1040.0,Petrol for pulper ,system
